Sentence,Language,Structure,Tense
Love animals.,English,Simple,Present
তুমি অকারণে চেয়ারের অবস্থান পরিবর্তন করবে না।,Bangla,Simple,Future
"The baby laughs loudly when she is amused, and her parents smile because it makes them happy.",English,Compound-complex,Present
"Stay positive every day, and face challenges with courage.",English,Compound,Present
"সে কি যাতায়াতের সময় পডকাস্ট শোনে, এবং কি সে অনেক কিছু শেখে বিশেষ করে যখন বিষয় ইতিহাস হয়?",Bangla,Compound-complex,Present
"তারা কত মজার খেলা করে, আর কত উত্তেজনাপূর্ণ চাল দেখায়!",Bangla,Compound,Present
তুমি পড়াশুনার সময় ভিডিও দেখবে না।,Bangla,Simple,Future
প্রতিদিন দুইবার চুলে ব্রাশ করো।,Bangla,Simple,Present
শিশুটি পাপির দিকে হাসল।,Bangla,Simple,Past
"Help your parents with the dishes, and dry them properly before putting them away.",English,Compound-complex,Present
We will bake a cake that everyone will enjoy for the celebration.,English,Complex,Future
"Do we walk in the park on Sundays, or do we stay home sometimes?",English,Compound,Present
"প্রতি সন্ধ্যায় মেঝে ঝাড়ু দিয়ে বাড়ি পরিষ্কার রাখো, এবং সাপ্তাহিক একবার মপিং করে স্বাস্থ্যবিধি বজায় রাখো।",Bangla,Compound-complex,Present
"নতুন শব্দ পড়ার সময় অভিধান ব্যবহার করো, এবং তাদের অর্থ লিখে রাখো।",Bangla,Compound,Present
"Does the cat like to climb trees, or does it prefer staying on the ground when it’s cold?",English,Compound-complex,Present
"Write your homework in your planner before the end of the day, and review it every evening so you don’t forget.",English,Compound-complex,Present
"Do you prefer coffee or tea when you're feeling tired, or do you choose water instead?",English,Compound-complex,Present
কুকুরটি বাঁধনমুক্ত হলে পার্কে কত দ্রুত দৌড়ায়!,Bangla,Complex,Present
"Take your time with the test, but don’t leave any questions blank.",English,Compound,Present
"তারা প্রতি রবিবার একসাথে নাস্তা রান্না করে কারণ এটা তাদের পারিবারিক ঐতিহ্য, এবং রান্নাঘরে কাটানো সময় উপভোগ করে।",Bangla,Compound-complex,Present
They will shop at the local market.,English,Simple,Future
"The weather will improve, and we will play tennis in the afternoon.",English,Compound,Future
কী উজ্জ্বল ফুল ফুটে উঠল!,Bangla,Simple,Past
Did he repair the leaking faucet?,English,Simple,Past
Take breaks when you’ve been studying for a long time.,English,Complex,Present
When will the train reach the station?,English,Simple,Future
তুমি অনলাইনে খারাপ বার্তা পোস্ট করবে না।,Bangla,Simple,Future
"Does the cat chase mice when it’s outside, or does it stay inside to nap instead?",English,Compound-complex,Present
"They attended a conference last month, and they registered online.",English,Compound,Past
"আমি ঘুমানোর আগে চার্জারটা প্লাগ থেকে তুলে নিয়েছিলাম, যাতে আগুনের ঝুঁকি না হয়।",Bangla,Compound,Past
"I wrote an email to my boss, but I haven’t received a reply yet even though I checked this morning.",English,Compound-complex,Past
সঙ্গীত কত জোরে বাজছিল!,Bangla,Simple,Past
"সে অফিসে স্যুট পরবে, আর খুবই পেশাদার দেখাবে।",Bangla,Compound,Future
"Keep your desk tidy, and work more efficiently.",English,Compound,Present
"পড়ার সময় মাঝে মাঝে বিরতি নাও, আর মনোযোগ থাকলেও শরীর স্ট্রেচ করো।",Bangla,Compound-complex,Present
You will not wear muddy shoes inside.,English,Simple,Future
Will he check his messages?,English,Simple,Future
তুমি অনুগ্রহ করে বোর্ডে একটি রিমাইন্ডার লিখবে।,Bangla,Simple,Future
Why did they leave the restaurant early?,English,Simple,Past
"তোমার কি একটি পোষা বিড়াল আছে, নাকি অ্যালার্জির কারণে অন্য পশু পছন্দ করো?",Bangla,Compound-complex,Present
"আমি চায়ের চেয়ে কফি পছন্দ করতাম, তবুও কখনো কখনো কফি খেতাম যখন আমাকে বেশি শক্তি দরকার হত কারণ এটি আমাকে জাগিয়ে রাখত।",Bangla,Compound-complex,Past
How quickly the flowers will bloom in spring!,English,Simple,Future
You will please clean the whiteboard after class.,English,Simple,Future
"Keep your room clean, and organize your desk so you can find things easily.",English,Compound-complex,Present
তুমি কি প্রতি রাতে তোমার জার্নালে লেখো?,Bangla,Simple,Present
Did she bake a pie for the festival?,English,Simple,Past
"He finished the project on time, and he worked late every night.",English,Compound,Past
যাওয়ার সময় “বিদায়” বলো।,Bangla,Simple,Present
রুটি বেক হওয়ার সময় রান্নাঘরে কী সুগন্ধ ছড়িয়ে পড়ে!,Bangla,Complex,Present
"Does she write emails every morning, and does she do other work after that?",English,Compound,Present
We watched a basketball game last night.,English,Simple,Past
সংকেত সবুজ হলে ট্রেনটি কত দ্রুত এগিয়ে আসে!,Bangla,Complex,Present
"What a bright smile you share whenever someone needs cheering up, and how warmly it lights their day although you may feel tired!",English,Compound-complex,Present
তুমি কি বলতে পারো তারা কি বাড়িতে ইংরেজি কথা বলে?,Bangla,Complex,Present
"সঙ্গীত কত মিষ্টি বাজছে, যেন এটি এক লুল্লাবি যা অস্থির রাতকে শান্ত করে!",Bangla,Complex,Present
"Do the flowers bloom in spring, as soon as the weather starts to warm up?",English,Complex,Present
"গাড়িটি কত ময়লা, ধোয়ার দরকার!",Bangla,Simple,Present
তুমি তোমার পানির বোতল বাসায় ফেলে আসবে না।,Bangla,Simple,Future
The baby smiled at her father when he made a funny face.,English,Complex,Past
Does she wear a hat when it rains?,English,Simple,Present
"Listen to music while doing chores, but don’t turn the volume up too high.",English,Compound,Present
সে ক্লাসিক্যাল সঙ্গীত শোনা উপভোগ করে।,Bangla,Simple,Present
তুমি কি আজ বাগান সেচ করবে?,Bangla,Simple,Future
"He will start his new job, and he will attend training when he arrives on Monday.",English,Compound-complex,Future
"How clearly the teacher explains the lesson, and how quickly we understand!",English,Compound,Present
We will plant a tree in the backyard where the old one used to be.,English,Complex,Future
"ঝড় উত্তীর্ণ হলে আকাশে কত রঙিন সূর্যাস্ত আঁকা হয়, আর কত সুন্দরভাবে রংগুলো মিশে যায়!",Bangla,Compound,Present
"Do they visit their grandparents often even if it’s a long drive, or do they wait for holidays?",English,Compound-complex,Present
"How tall the mountains stand, and how far they stretch!",English,Compound,Present
"সে পড়াশোনার সময় গান শুনত, তবুও যখন পাঠ কঠিন হত তখন গান বন্ধ করত কারণ তাকে মনোযোগ দিতে হত।",Bangla,Compound-complex,Past
"সে গির্জার কোরাসে গান গায় যদিও মাঝে মাঝে নার্ভাস হয়, এবং তার বন্ধুরা সবসময় তাকে উৎসাহ দেয়।",Bangla,Compound-complex,Present
Where will the wedding be held?,English,Simple,Future
কনসার্ট কোথায় অনুষ্ঠিত হবে?,Bangla,Simple,Future
"আমি পরিবারের জন্য রাতের খাবার রান্না করি, এবং তারা টেবিল সাজায় যতক্ষণ না আমি রান্না শেষ করি।",Bangla,Compound-complex,Present
Will he join the dance class?,English,Simple,Future
What a lovely flower bloomed in the garden!,English,Simple,Past
"Does he work in an office, or does he work remotely because of the new policy?",English,Compound-complex,Present
"বৃষ্টির দিনে কী মজাদার বোর্ড গেম খেলি আমরা, আর খেলার পরেও হাসি থেমে থাকে না!",Bangla,Compound-complex,Present
What a soft bed I will sleep in tonight!,English,Simple,Future
সে কীভাবে নাচত?,Bangla,Simple,Past
"তারা আর্ট মিউজিয়াম পরিদর্শন করবে, এবং সেখানে একটি নতুন প্রদর্শনী আছে।",Bangla,Compound,Future
দীর্ঘ শীতের পর সূর্য কতটা উষ্ণ অনুভব হয়!,Bangla,Complex,Present
"What a sweet scent the garden holds when the flowers bloom early in the morning, and how it fills the air with the promise of a new day!",English,Compound-complex,Present
"Do we visit the museum this week if it isn’t too crowded, or do we wait until next week?",English,Compound-complex,Present
How clearly the teacher explains the lesson!,English,Simple,Present
তুমি প্যাকিং শেষ করতে সকাল পর্যন্ত অপেক্ষা করবে না।,Bangla,Simple,Future
"পরীক্ষা করার পরে একটু বিশ্রাম নাও যাতে তোমার মন শান্ত হয়, এবং পেশী শক্ত হওয়া থেকে বাঁচতে শরীর প্রসারিত করো।",Bangla,Compound-complex,Present
"ফলাফল ঘোষণা করা হবে, এবং তারা তাদের জয় উদযাপন করবে।",Bangla,Compound,Future
"I will love chocolate cake, and I will study English every night.",English,Compound,Future
Open the window to let in fresh air.,English,Simple,Present
Does the clock work properly?,English,Simple,Present
"সে প্রতিদিন সকালে মেইল চেক করে, এবং উঠে সোজা করে যদিও গুরুত্বপূর্ণ কিছু কমই থাকে।",Bangla,Compound-complex,Present
How quickly the leaves will change colors in autumn!,English,Simple,Future
"বিড়ালটি সোফায় ঘুমায়, কিন্তু কেউ ঘরে ঢুকলে প্রায়ই জেগে ওঠে।",Bangla,Compound,Present
"What a bright light shines when the sun sets early, and how warmly it fills the room as the evening begins!",English,Compound-complex,Present
"They left early, and they caught the train.",English,Compound,Past
"Does she go jogging regularly, or does she exercise in other ways?",English,Compound,Present
"How neatly the books are stacked, and how easy it is to find one!",English,Compound,Present
Does the clock ring loudly?,English,Simple,Present
"How high the plane flies, and how fast the clouds move!",English,Compound,Present
They planted a tree near the porch so they could enjoy its shade.,English,Complex,Past
"What a happy dog barks, and what a playful puppy runs around!",English,Compound,Present
How powerful the storm will sound at night!,English,Simple,Future
সে কি প্রতিদিন পিয়ানো অনুশীলন করে?,Bangla,Simple,Present
"গ্রীষ্মকালে হিটার কম করো, এবং ঘর টুকরা হলে জানালা খুলে দাও।",Bangla,Compound-complex,Present
সে তার গণিত কুইজের জন্য পড়াশোনা করেছিল।,Bangla,Simple,Past
"আমি থালা ধুই, আর আমার বোন তা মুছে ফেলে।",Bangla,Compound,Present
"আমি বাথরুম পরিষ্কার করেছিলাম, এবং অতিথিরা ঠিক তখনই চলে গিয়েছিল যখন আমি শুরু করেছিলাম।",Bangla,Compound-complex,Past
What a delicious meal we will cook together!,English,Simple,Future
"তারা কি হাইকিং পছন্দ করে, নাকি পথ বন্ধ থাকলে অন্য বাইরের কার্যকলাপ করে?",Bangla,Compound-complex,Present
She will watch the news every evening.,English,Simple,Future
Did she listen to the new album?,English,Simple,Past
সে কি চশমা পরে?,Bangla,Simple,Present
Don’t forget your water bottle.,English,Simple,Present
"We helped our friend move furniture, for he injured his back although he tried to do it himself.",English,Compound-complex,Past
"সে রাতের খাবারের পরে টিভি দেখে, নাকি ভাল কিছু না থাকলে বই পড়ে?",Bangla,Compound-complex,Present
"আমি নতুন জায়গায় ভ্রমণ করি, আর আমার বন্ধুদের পোস্টকার্ড লিখি।",Bangla,Compound,Present
How bright the moon will shine tonight!,English,Simple,Future
How sweet the honey tastes!,English,Simple,Present
Does he like to fish?,English,Simple,Present
What a joyful celebration we will have!,English,Simple,Future
"অচেনাদের প্রতি সদয় হও কারণ সদয়তা ভালো সম্পর্ক তৈরি করে, এবং প্রায়শই হাসো যাতে তাদের দিন সুন্দর হয়।",Bangla,Compound-complex,Present
"Take your lunch to school, and keep it in your lunchbox.",English,Compound,Present
When will you see the doctor?,English,Simple,Future
ভূমি প্রস্তুত হওয়ার পর তারা পার্কে গাছ লাগাবে।,Bangla,Complex,Future
We will have a meeting on Monday.,English,Simple,Future
ঠান্ডা রাতে আগুন কত উষ্ণভাবে আমাদের রাখল!,Bangla,Simple,Past
"Use your planner every day, and write down all your assignments.",English,Compound,Present
Brush your teeth after you finish lunch.,English,Complex,Present
Speak loudly and clearly so everyone can hear you.,English,Complex,Present
I listened to the birds chirping.,English,Simple,Past
"সে একটি হাসপাতালে কাজ করবে, আর অনেক রোগীর যত্ন নেবে।",Bangla,Compound,Future
What will she wear to the wedding?,English,Simple,Future
শিশুটি আনন্দিত বা খুশি হলে হাততালি দেয়।,Bangla,Complex,Present
"স্কুল থেকে ফিরে ব্যাকপ্যাক গুছিয়ে রাখো, এবং হোমওয়ার্ক বের করো।",Bangla,Compound,Present
সে কি গতকাল তার নতুন জুতো পরেছিল?,Bangla,Simple,Past
Will the clock tick loudly?,English,Simple,Future
"She mailed a birthday card, and she had made it herself because she wanted it to be special.",English,Compound-complex,Past
কুকুরছানাটি তার মালিককে দেখলেই কী আনন্দে লেজ নাড়ে!,Bangla,Complex,Present
Do you know whether he takes the train to work?,English,Complex,Present
Do they shop at the local market whenever they need fresh produce?,English,Complex,Present
"নিয়মিত পানি পান করো, এবং চিনিযুক্ত পানীয় এড়িয়ে চলো।",Bangla,Compound,Present
They will go hiking in the mountains if the weather is clear.,English,Complex,Future
আমি প্রতি সপ্তাহান্তে কত সুস্বাদু কুকি বেক করি!,Bangla,Simple,Present
আকাশে আতশবাজি কত উজ্জ্বলভাবে বিস্ফোরিত হলো!,Bangla,Simple,Past
The dog will chase the cat when it runs around the house.,English,Complex,Future
"You will please say ""thank you"" when helped.",English,Simple,Future
"How well they play the piano, and how deeply it moves the audience when the music fills the hall!",English,Compound-complex,Present
"আমরা রবিবারে পার্কে হাঁটব, অথবা আবহাওয়া ভালো থাকলে হাইকিং করব।",Bangla,Compound,Future
"আমরা উন্নতি করতে চাই, তাই প্রতিদিন ইংরেজি পড়ি।",Bangla,Compound,Present
"আজ সার্ভিস ধীর হওয়ার কারণে কত লম্বা লাইন, এবং অপেক্ষা করার সময় মানুষ কত অস্থির হয়ে ওঠে!",Bangla,Compound-complex,Present
সে শেষেই কেন কাঁদবে?,Bangla,Simple,Future
আমরা নিয়মিত জিমে ব্যায়াম করি যাতে সুস্থ থাকতে পারি।,Bangla,Complex,Present
She studied history all afternoon while taking notes.,English,Complex,Past
"আমরা আগামী গ্রীষ্মে ইউরোপে ভ্রমণ করব, কিন্তু প্রথমে অর্থ সঞ্চয় করতে হবে কারণ ভ্রমণ ব্যয়বহুল।",Bangla,Compound-complex,Future
Did she wear a necklace to the event?,English,Simple,Past
আমি আগামী মাসে অন্য শহরে থাকা আমার কাজিনের কাছে যাব।,Bangla,Complex,Future
"দোকান সকাল ১০টায় খোলে, কিন্তু কয়েকজন লোক দরজা খোলার আগে বাইরে অপেক্ষা করেছিল।",Bangla,Compound-complex,Past
Finish your chores before playing so you don’t have to worry later.,English,Complex,Present
She enjoys listening to classical music.,English,Simple,Present
"তারা নাস্তা ভাগ করে খেয়েছিল, আর সেটা ছিল বিরতির সময়।",Bangla,Compound,Past
ঘুমাতে যাওয়ার আগে লাইট বন্ধ করে দিও।,Bangla,Complex,Present
সে যখন অনুপ্রাণিত হয় তখন তার স্টুডিওতে প্রাকৃতিক দৃশ্য আঁকে।,Bangla,Compound,Present
How warm the sunshine feels!,English,Simple,Present
How will you learn to swim?,English,Simple,Future
যখন শিশুরা খেলায় মনোযোগী থাকে তখন তারা কত চুপচাপ খেলে!,Bangla,Complex,Present
Close the door when you leave.,English,Simple,Present
"শিশুরা কি তাড়াতাড়ি ঘুমাতে যায় যাতে তারা সতেজ হয়ে উঠতে পারে, এবং তারা কি সারারাত ভালো ঘুমায়?",Bangla,Compound-complex,Present
"সে কত মনোযোগ দিয়ে গান শোনে পড়ার সময়, আর গানটি হালকা হলেও, তার মনোযোগ ধরে রাখতে সাহায্য করে!",Bangla,Compound-complex,Present
তুমি শ্রেণিকক্ষের নিয়ম ভাঙবে না।,Bangla,Simple,Future
When did you visit your cousins?,English,Simple,Past
ট্রেন কি সময়মতো পৌঁছাবে?,Bangla,Simple,Future
তুমি ব্যাজ স্ক্যান না করে প্রবেশ করবে না।,Bangla,Simple,Future
He drives to the grocery store after making a list.,English,Complex,Present
আমি প্রতিদিন একই রাস্তা দিয়ে যাই কারণ এটি কাজের জন্য সবচেয়ে দ্রুত পথ।,Bangla,Complex,Present
"I mowed the lawn in the afternoon while the sun was shining, and I trimmed the bushes too.",English,Compound-complex,Past
Will you take the bus to work?,English,Simple,Future
সকালে খবর জানার জন্য রেডিও শুনো।,Bangla,Complex,Present
Take your pet for a walk daily if the weather is nice.,English,Complex,Present
শিশুটি তার নতুন সময়সূচীতে অভ্যস্ত হলে পুরো রাত ঘুমাবে।,Bangla,Complex,Future
সে তার ডায়রিতে কী লিখেছিল?,Bangla,Simple,Past
"কুকুরটি উঠান জুড়ে দৌড়াচ্ছিল, আর শিশুরা হাসছিল।",Bangla,Compound,Past
Avoid talking during the movie.,English,Simple,Present
How did you travel to the city?,English,Simple,Past
Do you write letters when you want to send a personal message?,English,Complex,Present
কুকুরটি কি গত রাতে ঘরের ভিতরে ঘুমিয়েছিল?,Bangla,Simple,Past
ট্রেন কত দ্রুত ছুটে যাবে!,Bangla,Simple,Future
How fast the birds flew south for the winter!,English,Simple,Past
"আমি প্রতিদিন সকালে আমার চুল ব্রাশ করি যদিও দেরি হয়ে যায়, এবং কখনোই এড়াই না।",Bangla,Compound-complex,Present
তোমার প্রতিবেশীদের শুভেচ্ছা জানাও।,Bangla,Simple,Present
তারা স্কুল উৎসবে নাচ করেছিল।,Bangla,Simple,Past
ঘরটা কত শান্ত ছিল!,Bangla,Simple,Past
"Use a pencil to draw, and bring an eraser.",English,Compound,Present
"সে কি কাজের জন্য বাইক চালায়, না কি বৃষ্টির দিনে বাস নেয় কারণ তখন বাইক চালানো নিরাপদ নয়?",Bangla,Compound-complex,Present
I’m amazed at how fluently they speak French!,English,Complex,Present
We will decorate the house for the festival.,English,Simple,Future
Can you explain if the birds sing at dawn?,English,Complex,Present
Take a rest if you feel tired.,English,Complex,Present
They play board games on weekends because it's their family tradition.,English,Complex,Present
I will buy groceries after work.,English,Simple,Future
সে সব নির্দেশনা অনুসরণ করে যদিও কিছু বুঝতে কঠিন।,Bangla,Complex,Present
"বিমানবন্দরেই বিমান অবতরণ করে, এবং নিরাপদে অবতরণ করলে যাত্রীরা তালি দেয়।",Bangla,Compound-complex,Present
সে কি অনুষ্ঠানের জন্য ঘর সাজাবে?,Bangla,Simple,Future
তুমি কি পুলে সাঁতার কাটো?,Bangla,Simple,Present
"কুকুরটি ডেলিভারি ম্যানকে ঘেউ ঘেউ করছিল, এবং সে প্যাকেজ বহন করে দরজার ঘণ্টা বাজিয়েছিল।",Bangla,Compound-complex,Past
How much she loves animals!,English,Simple,Present
"বসন্ত এলে ফুলগুলো কত ভালো ফোটে, আর সূর্য যখন পৃথিবী গরম করে তারা কত প্রাণবন্ত দেখায়!",Bangla,Compound-complex,Present
Call your teacher if you’re absent.,English,Simple,Present
"Close the window when it gets cold, and draw the curtains too.",English,Compound,Present
"আমরা বারান্দায় বসেছিলাম, এবং সূর্য ডোবার সময় কথা বলছিলাম।",Bangla,Compound,Past
Where will they celebrate their anniversary?,English,Simple,Future
"The weather will be good, and he will ride his bike to school tomorrow.",English,Compound,Future
I checked my email in the morning before starting my work.,English,Complex,Past
"আমরা মিটিংয়ে খাবার এনেছিলাম, এবং সবাই তা উপভোগ করেছিল কারণ সবাই ক্ষুধার্ত ছিল।",Bangla,Compound-complex,Past
তারা কত সুখী পরিবার!,Bangla,Simple,Present
She will shop for clothes although she already has many outfits.,English,Complex,Future
"Wear your coat on cold days, and button it up if the wind is strong.",English,Compound-complex,Present
"I cleaned my car yesterday because it was dirty, and I vacuumed the inside too.",English,Compound-complex,Past
What a bright smile she showed after winning!,English,Simple,Past
Use a pencil when writing.,English,Simple,Present
জুঁই ফুলের গন্ধ কত মিষ্টি হবে!,Bangla,Simple,Future
"What a neat garden you tend, and what colorful blooms you grow!",English,Compound,Present
Wash the car.,English,Simple,Present
She will visit the museum next weekend.,English,Simple,Future
পাখিগুলো কত দ্রুত উড়ে যায়!,Bangla,Simple,Present
সে কখন কলেজ থেকে স্নাতক হয়েছিল?,Bangla,Simple,Past
What a neat arrangement you made even though you had little time!,English,Complex,Present
তুমি পূর্বে জানানো ছাড়া তোমার শিফট মিস করবে না।,Bangla,Simple,Future
তারা স্কুলের পর ফুটবল খেলতে যায়।,Bangla,Simple,Present
সে প্রতিদিন রাতে দেরি পর্যন্ত কাজ করেছিল বলে সময়মতো প্রকল্পটি শেষ করতে পেরেছিল।,Bangla,Complex,Past
সূর্যের আলোয় কত সুন্দর নেকলেস ঝলমল করছিল!,Bangla,Simple,Past
তুমি অনুগ্রহ করে নির্দেশনাগুলো মনোযোগ দিয়ে অনুসরণ করবে।,Bangla,Simple,Future
রাতের খাবার শেষে তারা আজ রাতে একটি সিনেমা দেখবে।,Bangla,Complex,Future
"Does she play soccer, or does she play another sport?",English,Compound,Present
She baked cookies because the school event was the next day.,English,Complex,Past
শিশুরা কি আইসক্রিম পছন্দ করে?,Bangla,Simple,Present
বেকারিটি কি সকাল ছয়টায় খুলবে?,Bangla,Simple,Future
Where will they go for vacation?,English,Simple,Future
আকাশে কত উজ্জ্বল ধুমকেতু ছড়িয়ে পড়ল!,Bangla,Simple,Past
Do you clean your room every day unless you are very tired?,English,Complex,Present
তারা এই শনিবার সঙ্গীত শুনতে শুনতে ঘর পরিষ্কার করবে।,Bangla,Complex,Future
You will not talk with your mouth full.,English,Simple,Future
"কী রঙিনভাবে মোহনীয় সূর্যাস্ত এই পাহাড়ের ওপর যেখানে আমরা ক্যাম্প করছি, তবু কী নরমভাবে সে ফিসফিসিয়ে বলে কথাগুলো যা শুধু তুমি শুনতে পাও রাত গভীর হলে!",Bangla,Compound-complex,Present
আমি একটি জারে আমার টাকা জমাই।,Bangla,Simple,Present
আমরা শেষ করার পর ঘরটা কত পরিষ্কার হবে!,Bangla,Simple,Future
It got cold in December.,English,Simple,Past
What a strong grip he holds!,English,Simple,Present
বাড়িটির কত শক্তিশালী ভিত্তি ছিল!,Bangla,Simple,Past
She will bake muffins for breakfast.,English,Simple,Future
বেকারিটা সকাল ছয়টায় কত তাড়াতাড়ি খুলত!,Bangla,Simple,Past
"তারা গাছ থেকে আপেল তুলেছিল, এবং স্কুল শেষে এটা করেছিল কারণ আবহাওয়া ভালো ছিল।",Bangla,Compound-complex,Past
What a bright star that is!,English,Simple,Present
What a delicious smell fills the kitchen when the bread is baking!,English,Complex,Present
Does she wear a watch?,English,Simple,Present
"কত শান্ত সমুদ্র আমাদের সামনে প্রসারিত, এবং মুহূর্তটা কত সান্ত্বনাদায়ক!",Bangla,Compound,Present
তীক্ষ্ণ সীটকারা খেলোয়াড়দের ফিরিয়ে আনার জন্য ডাক দিল!,Bangla,Simple,Past
Does the cat chase mice even though it’s well-fed?,English,Complex,Present
শিক্ষকের কথা মনোযোগ দিয়ে শোনো যাতে পাঠ বুঝতে পারো।,Bangla,Complex,Present
How gently the snow fell!,English,Simple,Past
"I will lock the door, and I will check the windows before I leave the house.",English,Compound-complex,Future
তোমার পিতামাতার কথা শুনো।,Bangla,Simple,Present
"They travel during the summer, and they visit new places even if it's far from home.",English,Compound-complex,Present
What a clear blue sky we have today!,English,Simple,Present
You will please remember everyone’s name.,English,Simple,Future
"He will go fishing on Saturday, but the weather might not be nice, so he’s keeping an eye on the forecast.",English,Compound-complex,Future
"Do you visit the doctor regularly, or only when you are sick?",English,Compound,Present
"Do you enjoy summer vacations, or do you prefer winter holidays?",English,Compound,Present
"পাড়ি দিতে হলে “মাফ করবেন” বলো, এবং সাবধানে হাঁটো।",Bangla,Compound,Present
"দর্শকরা কত জোরে উল্লাস করে, এবং খেলা কত উত্তেজনাপূর্ণ হয়!",Bangla,Compound,Present
প্রতি সপ্তাহে জানালা ধুলো পরিষ্কার করো যাতে সেগুলো স্বচ্ছ ও উজ্জ্বল থাকে।,Bangla,Complex,Present
সে সাক্ষাত্কার থেকে আগে দাড়ি শেভ করেছিল।,Bangla,Simple,Past
Who did you see at the concert?,English,Simple,Past
Does the sun rise early in the morning?,English,Simple,Present
What a cool breeze you feel when the window is open!,English,Complex,Present
"How quickly the clock ticks when you're lost in thought, and what a steady rhythm it keeps even when time seems to stand still!",English,Compound-complex,Present
He will read a book before bed.,English,Simple,Future
সে কত ধৈর্যের সঙ্গে চ্যালেঞ্জের মুখোমুখি হল!,Bangla,Simple,Past
"আমরা আজ রাতে একটি সিনেমা দেখব, এবং আমরা পপকর্ন খাব।",Bangla,Compound,Future
শিশুটি কত চুপচাপ ঘুমাবে!,Bangla,Simple,Future
"Wash your car on weekends, and wax it to keep it shiny.",English,Compound,Present
"গাড়ি চালানোর সময় সিটবেল্ট পরো, আর রাস্তায় নিরাপদ থাকার জন্য আয়না ঠিক করে নাও।",Bangla,Compound-complex,Present
"তারা একটি সিনেমা দেখবে, এবং রাতের খাবারের পরে এটি করবে।",Bangla,Compound,Future
The baker prepares fresh bread.,English,Simple,Present
"ফুলগুলোর গন্ধ কত তাজা, আর তারা কত উজ্জ্বল রঙ দেখায়!",Bangla,Compound,Present
"Does the sun rise early in the morning when it’s summer, or is it later during winter months?",English,Compound-complex,Present
"আমরা গত রাতে একটি বাস্কেটবল খেলা দেখেছিলাম, কিন্তু অনেক দেরি হয়ে গিয়েছিল, তাই আমরা শীঘ্রই ঘুমাতে গেলাম।",Bangla,Compound-complex,Past
"কত দ্রুত শিশুরা বেড়ে ওঠে, প্রতিদিন নতুন কিছু শেখে যখন তারা পৃথিবী অন্বেষণ করে, আর তাদের পিতা-মাতা গর্বের সাথে দেখে তারা কত ভালো করছে!",Bangla,Compound-complex,Present
She will visit the art gallery next weekend.,English,Simple,Future
সে কত উষ্ণ হাসি দেখাবে!,Bangla,Simple,Future
অনুগ্রহ করে তোমার ভেতরের কণ্ঠস্বর ব্যবহার করো।,Bangla,Simple,Present
"She will read the newspaper in the morning, and she will drink coffee while she reads.",English,Compound-complex,Future
How clear the sky looks after the storm has passed!,English,Complex,Present
সে বিয়েতে অংশ নেওয়ার সময় ছবি তুলবে।,Bangla,Complex,Future
কী বিশাল ভিড় সেখানে জমায়েত হয়েছিল!,Bangla,Simple,Past
"আমি বাথরুম পরিষ্কার করেছিলাম, আর অতিথিরা ঠিক তখনই চলে গিয়েছিল।",Bangla,Compound,Past
"প্রতি ঘণ্টায় একটি গ্লাস পানি খাও, এবং পা স্ট্রেচ করো।",Bangla,Compound,Present
কত সুন্দরভাবে বসন্তে ফুলগুলো ফোটবে!,Bangla,Simple,Future
এখান থেকে আতশবাজির প্রদর্শনী কত আশ্চর্যজনক দেখাবে!,Bangla,Simple,Future
Help clean the classroom after school.,English,Simple,Present
How early we will eat breakfast at 7 a.m.!,English,Simple,Future
"কুকুরটা আজ রাতে কেনেলে ঘুমাবে কারণ সে সেখানে নিরাপদ মনে করে, এবং শান্তিতে বিশ্রাম নেবে।",Bangla,Compound-complex,Future
খাওয়ার পরে দাঁত মাজো।,Bangla,Simple,Present
"সে প্রতিদিন পার্কে জগিং করে, কিন্তু অনেক কঠোর হওয়ায় ক্লান্ত হয়।",Bangla,Compound-complex,Present
তোমার স্ন্যাকস বন্ধুদের সঙ্গে ভাগ করো।,Bangla,Simple,Present
"তারা পরীক্ষার আগে একসাথে পড়ে, আর একে অপরকে প্রশ্ন করে প্রস্তুতি নেয়।",Bangla,Compound,Present
"অবসরে স্কার্ফ বুনো, কারণ এটি একটি আরামদায়ক শখ।",Bangla,Complex,Present
Do we need tickets for the concert if it is sold out early?,English,Complex,Present
Can you explain if you study every night?,English,Complex,Present
"তুমি কি প্রতিদিন রাতে তোমার জার্নালে লেখো, আর কি এটা তোমার উপকারে আসে?",Bangla,Compound,Present
সে আগামী সপ্তাহান্তে জাদুঘর পরিদর্শন করবে।,Bangla,Simple,Future
"What a strong athlete she is, and what fast runner she became!",English,Compound,Present
How warm the fireplace will feel!,English,Simple,Future
তুমি কি সন্ধ্যায় চা পান করো?,Bangla,Simple,Present
"বাইরে পাখিটি যদি খুব নিচে উড়ে, তাহলে বিড়ালটি সেটিকে ধরবে।",Bangla,Complex,Future
"সে স্কুলের জন্য একটি গল্প লিখেছিল, তাই সে ভালো গ্রেড পেয়েছিল যদিও এটি চ্যালেঞ্জিং ছিল।",Bangla,Compound-complex,Past
"ফোনে ভদ্রভাবে উত্তর দাও কারণ এতে ভাল ছাপ পড়ে, আর কলারকে বুঝতে মনোযোগ দিয়ে শুনো।",Bangla,Compound-complex,Present
